,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
78,6285336660,Afternoon Run,2021-11-20T16:26:52Z,Run,9671.3,2468,2526,60.0,"[38.90845279209316, -77.08485715091228]",garmin_push_7849575666,0,0,0,78.5,15.0,3.919,6.11,0
79,6284537296,Morning Ride,2021-11-20T08:33:29Z,Ride,101101.0,11863,14059,1095.0,"[38.908561673015356, -77.08444216288626]",2021-11-20-133329-ELEMNT BOLT 7531-282-0.fit,99.4,142,719,55.2,44.0,8.522,18.222,4
80,6280689361,Afternoon Ride,2021-11-19T16:08:15Z,Ride,19472.1,2626,2778,75.0,"[38.908584555611014, -77.0844192802906]",2021-11-19-210651-ELEMNT BOLT 7531-281-0.fit,144.3,178,454,65.7,7.0,7.415,12.088,6
81,6245830131,Night Run,2021-11-11T21:09:06Z,Run,10729.2,3095,3162,74.4,"[38.908018274232745, -77.08404008299112]",garmin_push_7805524535,0,0,0,77.5,180.0,3.467,4.503,0
82,6236762123,Night Run,2021-11-09T21:33:13Z,Run,6494.6,1919,1919,73.9,"[38.908240562304854, -77.08449874073267]",garmin_push_7795327346,0,0,0,77.2,81.0,3.384,4.325,0
83,6231696298,Afternoon Run,2021-11-08T17:08:26Z,Run,7183.7,2030,2139,45.0,"[38.908260092139244, -77.0845176000148]",garmin_push_7789808515,0,0,0,76.8,98.0,3.539,4.7,0
84,6188788386,Morning Ride,2021-10-30T07:34:00Z,Ride,121641.0,14307,17652,1506.0,"[38.908138889819384, -77.08423026837409]",2021-10-30-113400-ELEMNT BOLT 7531-280-0.fit,175.2,204,615,72.9,219.0,8.502,18.028,12
85,6180681999,Afternoon Ride,2021-10-28T17:26:13Z,Ride,24134.5,3205,3424,75.5,"[38.908504424616694, -77.08456386812031]",BB7F4C13-9D19-4542-A07B-CC19002B4F08-activity.fit,138.6,0,0,0,0,7.53,12.316,0
86,6176371833,Afternoon Ride,2021-10-27T17:14:16Z,Ride,34818.7,4148,4409,62.0,"[38.90861514955759, -77.08446504548192]",2021-10-27-211244-ELEMNT BOLT 7531-279-0.fit,187.9,209,444,77.0,110.0,8.394,12.84,17
87,6166704444,Afternoon Run,2021-10-25T17:20:17Z,Run,4838.6,1461,1472,0.0,"[38.905954733490944, -77.07782062701881]",garmin_push_7716681219,0,0,0,77.7,67.0,3.312,4.365,0
88,6149793112,Wahoo died,2021-10-21T18:00:00Z,Ride,32186.9,3600,3600,0,[],,0,0,0,0,0,8.941,0,0
89,6176385265,Afternoon Ride,2021-10-21T17:45:22Z,Ride,27380.3,2945,21851,47.0,"[38.90871045179665, -77.08489227108657]",2021-10-21-214522-ELEMNT BOLT 7531-278-0.fit,190.6,215,614,76.5,90.0,9.297,14.152,19
90,6145271622,Morning Ride,2021-10-21T07:10:26Z,Ride,30573.7,3603,4090,55.0,"[38.90856368467212, -77.08444979041815]",2021-10-21-111025-ELEMNT BOLT 7531-276-0.fit,199.0,212,436,78.1,69.0,8.486,11.512,10
